bin_range,mean_transmittance
548.5-551.75,0.996547495080282
551.75-555.0,0.9974143219604802
555.0-558.25,0.9967655769987147
558.25-561.5,0.9959740100221484
561.5-564.75,0.9961574791738964
564.75-568.0,0.9968573259487825
568.0-571.25,0.9968573227776409
571.25-574.5,0.9976169054159257
574.5-577.75,0.9975924423224858
577.75-581.0,0.9978117187362388
581.0-584.25,0.9987741648714177
584.25-587.5,0.9980545557081094
587.5-590.75,0.9976612404053968
590.75-594.0,0.99747036133962
594.0-597.25,0.9973952610670052
597.25-600.5,0.9966508029478237
600.5-603.75,0.9958593379412968
603.75-607.0,0.9959166659289709
607.0-610.25,0.9952862531197693
610.25-613.5,0.9938665199241687
613.5-616.75,0.9917175526841956
616.75-620.0,0.9870604393720537
620.0-623.25,0.9764406607313124
623.25-626.5,0.9645572284331102
626.5-629.75,0.954233346986282
629.75-633.0,0.9491678467644393
633.0-636.25,0.9498783736727019
636.25-639.5,0.9574489836413097
639.5-642.75,0.9730982902232552
642.75-646.0,0.983530879888994
646.0-649.25,0.9895971980236009
649.25-652.5,0.9925171142129833
652.5-655.75,0.9934545427570353
655.75-659.0,0.9943470779767515
659.0-662.25,0.9942211555173419
662.25-665.5,0.9939808481755917
665.5-668.75,0.9935689250223178
668.75-672.0,0.9936261322222981
672.0-675.25,0.9931343519409921
675.25-678.5,0.9920601389513327
678.5-681.75,0.9904170723157653
681.75-685.0,0.9870138071703091
685.0-688.25,0.9831686004606236
688.25-691.5,0.9785624892158598
691.5-694.75,0.9709777302244581
694.75-698.0,0.9625604205807445
698.0-701.25,0.9493566242132425
701.25-704.5,0.9245289980647751
704.5-707.75,0.9042697439861297
707.75-711.0,0.8913433975042471
711.0-714.25,0.889731067291082
714.25-717.5,0.8985618998139746
717.5-720.75,0.9174914434636989
720.75-724.0,0.9447572304272467
724.0-727.25,0.9583486956640596
727.25-730.5,0.9609438242082378
730.5-733.75,0.959242225110355
733.75-737.0,0.9530459102924264
737.0-740.25,0.9463853307929518
740.25-743.5,0.9386826141327892
743.5-746.75,0.9435629381927718
746.75-750.0,0.9523531004337166
750.0-753.25,0.9594769277534398
753.25-756.5,0.9693023044340134
756.5-759.75,0.9763330703923416
759.75-763.0,0.9816993456192475
763.0-766.25,0.9864910981719748
766.25-769.5,0.9885940676031751
769.5-772.75,0.9894366679676196
772.75-776.0,0.9900862070932692
776.0-779.25,0.990029191103859
779.25-782.5,0.9883098623273308
782.5-785.75,0.9819394299855706
785.75-789.0,0.9667803500256482
789.0-792.25,0.9548342746228556
792.25-795.5,0.9490376668813763
795.5-798.75,0.9467776650213064
798.75-802.0,0.9492224475126413
802.0-805.25,0.9575471342538234
805.25-808.5,0.9650571648580912
808.5-811.75,0.9640465394021434
811.75-815.0,0.9589350094448126
815.0-818.25,0.9543841716190227
818.25-821.5,0.9598823365521334
821.5-824.75,0.96333700566905
824.75-828.0,0.9691002788201217
828.0-831.25,0.9744240626765033
831.25-834.5,0.9786072174707992
834.5-837.75,0.9832823030884665
837.75-841.0,0.9860478716021404
841.0-844.25,0.9884805263866294
