x,y
26.0,0.3
27.0,2.3
29.0,0.44
38.0,0.77
39.0,6.18
40.0,1.39
41.0,8.31
42.0,0.76
50.0,3.84
51.0,13.43
52.0,1.21
53.0,1.41
54.0,0.76
55.0,3.73
62.0,0.49
63.0,1.13
64.0,0.39
65.0,1.39
66.0,0.55
67.0,2.6
68.0,1.29
69.0,2.6
74.0,1.21
75.0,1.08
77.0,42.71
78.0,3.78
79.0,1.21
89.0,0.43
91.0,1.03
95.0,0.28
102.0,0.3
103.0,0.68
105.0,99.99
106.0,7.74
107.0,2.0
115.0,1.51
117.0,0.47
127.0,0.38
128.0,0.57
129.0,0.41
131.0,0.68
133.0,12.68
134.0,1.22
145.0,0.92
146.0,0.4
173.0,2.32
174.0,18.14
175.0,2.49
